Planner,Domain,Instance,S0,S1,S2,S3
lama,snake,instance-14.pddl,0.0,0.0,0.0,0.0
lama,snake,instance-16.pddl,0.0,0.0,0.0,0.0
lama,snake,instance-17.pddl,0.0,0.0,0.0,0.0
lama,snake,instance-18.pddl,0.0,0.0,0.0,0.0
lama,snake,instance-19.pddl,0.0,0.0,0.0,0.0
lama,visitall,instance-01.pddl,0.8896973407443535,0.9630262703547351,0.9767516291900782,1.0
lama,visitall,instance-02.pddl,0.9421989694206206,0.9545474936454001,0.9713584084684882,1.0
lama,visitall,instance-03.pddl,0.9574473999140329,0.9651341355645046,0.9768338736811559,1.0
lama,visitall,instance-04.pddl,0.9360447708626469,0.957877650713258,0.9687855564187612,1.0
lama,visitall,instance-07.pddl,0.9450795710516261,0.9414539906346844,0.9544662489661062,1.0
lama,visitall,instance-08.pddl,0.9368044132259594,0.9524661157791723,0.9587641295900273,1.0
lama,visitall,instance-09.pddl,0.925606287076355,0.9278438113419406,0.9448893808475112,1.0
lama,visitall,instance-11.pddl,0.9354235968760177,0.9239120285987811,0.9346777747455206,1.0
lama,visitall,instance-12.pddl,0.9366355801617882,0.9333752348758474,0.9414632966046116,1.0
lama,visitall,instance-13.pddl,0.9294141171085447,0.9251804713671883,0.9313930324293065,1.0
lama,visitall,instance-14.pddl,0.9212167619679398,0.9254593848377881,0.9319164374949803,1.0
lama,visitall,instance-16.pddl,0.8886320915958695,0.9490246375428305,0.9395493764859109,1.0
lama,visitall,instance-17.pddl,0.8743481249202721,0.9233346522817896,0.9268350346646054,1.0
lama,visitall,instance-18.pddl,0.8778251421333761,0.9272340004339681,0.9290719774465589,1.0
lama,visitall,instance-19.pddl,0.8529160860751804,0.9136735786042717,0.9059928512245895,1.0
decstar,barman,instance-01.pddl,0.0,0.0,0.0,0.0
decstar,barman,instance-02.pddl,0.0,0.0,0.0,0.0
decstar,barman,instance-03.pddl,0.9972433205343085,0.9948897627042158,1.0,0.975448137065182
decstar,barman,instance-04.pddl,0.9994351788122648,0.9975835998621793,1.0,0.9757709290434038
decstar,barman,instance-07.pddl,0.0,0.0,0.0,0.0
decstar,barman,instance-08.pddl,0.0,0.0,0.0,0.0
decstar,barman,instance-09.pddl,0.0,0.0,0.0,0.0
decstar,barman,instance-11.pddl,0.0,0.0,0.0,0.0
decstar,barman,instance-12.pddl,0.0,0.0,0.0,0.0
decstar,barman,instance-13.pddl,0.0,0.0,0.0,0.0
decstar,barman,instance-14.pddl,0.9938517175666605,0.9924501777544892,1.0,0.9723332659325306
decstar,barman,instance-16.pddl,0.0,0.0,0.0,0.0
decstar,barman,instance-17.pddl,0.9818584014003399,0.9770465337416773,1.0,0.9873877406937824
decstar,barman,instance-18.pddl,0.0,0.0,0.0,0.0
decstar,barman,instance-19.pddl,0.0,0.0,0.0,0.0
decstar,depots,instance-01.pddl,0.9308067079862672,0.9214451244436986,1.0,0.9425692643361376
decstar,depots,instance-02.pddl,0.9359979378799538,0.9272931236059374,1.0,0.9551995566336993
decstar,depots,instance-03.pddl,0.9523365922179666,0.939513531903721,1.0,0.9611832388040665
decstar,depots,instance-04.pddl,0.9623815899689049,0.9506687875810014,1.0,0.9651374151387193
decstar,depots,instance-07.pddl,0.9587376637493908,0.9347621304150762,1.0,0.9545003389093585
decstar,depots,instance-08.pddl,0.9639878520974193,0.9580945503442727,1.0,0.965903202852629
decstar,depots,instance-09.pddl,0.9973128194532905,0.9997015123279964,1.0,0.9854367720090869
decstar,depots,instance-11.pddl,0.9818465488554594,0.9812603283432145,1.0,0.9863481773671754
decstar,depots,instance-12.pddl,0.0,0.0,0.0,0.0
decstar,depots,instance-13.pddl,0.9487020968720871,0.9479567241391218,1.0,0.9603573148966139
decstar,depots,instance-14.pddl,0.9561566607623592,0.9695547092867715,1.0,0.976424913569943
decstar,depots,instance-16.pddl,0.9409423041864627,0.9667114510395828,1.0,0.9625605250672741
decstar,depots,instance-17.pddl,0.9460741630593412,0.9451376331534617,1.0,0.9691362820151901
decstar,depots,instance-18.pddl,0.965868697732435,0.9771012134510209,1.0,0.9887217004290906
decstar,depots,instance-19.pddl,0.9502743312203343,0.9634637702057736,1.0,0.965740058068512
decstar,ricochet-robots,instance-01.pddl,0.0,0.0,0.0,0.0
decstar,ricochet-robots,instance-02.pddl,0.9940202367284738,0.9943143019287571,1.0,0.9769499309844956
decstar,ricochet-robots,instance-03.pddl,0.9856496414583682,0.9827844171285738,1.0,0.9860695768457436
decstar,ricochet-robots,instance-04.pddl,0.0,0.0,0.0,0.0
decstar,ricochet-robots,instance-07.pddl,0.9979013287519485,0.9964317459862605,1.0,0.9749217004629669
decstar,ricochet-robots,instance-08.pddl,0.0,0.0,0.0,0.0
decstar,ricochet-robots,instance-09.pddl,1.0,0.9940305224569512,0.9998180692827143,0.9812536623481475
decstar,ricochet-robots,instance-11.pddl,0.0,0.0,0.0,0.0
decstar,ricochet-robots,instance-12.pddl,0.0,0.0,0.0,0.0
