Planner,Domain,Instance,T_star,Source_Stage
decstar,depots,instance-16.pddl,1.478648,Cross_Test (Gemini 3.1 Pro)
decstar,depots,instance-17.pddl,1.650796,Cross_Test (Gemini 3.1 Pro)
decstar,depots,instance-18.pddl,2.041787,Cross_Test (GPT-5.4)
decstar,depots,instance-19.pddl,2.169728,Cross_Test (GPT-5.4)
decstar,ricochet-robots,instance-01.pddl,UNSOLVED,N/A
decstar,ricochet-robots,instance-02.pddl,223.479017,Cross_Test (Gemini 3.1 Pro)
decstar,ricochet-robots,instance-03.pddl,7.099235,Arch_Aware (Gemini 3.1 Pro)
decstar,ricochet-robots,instance-04.pddl,UNSOLVED,N/A
decstar,ricochet-robots,instance-07.pddl,64.421141,Arch_Aware (Gemini 3.1 Pro)
decstar,ricochet-robots,instance-08.pddl,UNSOLVED,N/A
decstar,ricochet-robots,instance-09.pddl,16.047248,BASELINE
decstar,ricochet-robots,instance-11.pddl,UNSOLVED,N/A
decstar,ricochet-robots,instance-12.pddl,UNSOLVED,N/A
decstar,ricochet-robots,instance-13.pddl,20.591944,Cross_Test (Gemini 3.1 Pro)
decstar,ricochet-robots,instance-14.pddl,UNSOLVED,N/A
decstar,ricochet-robots,instance-16.pddl,UNSOLVED,N/A
decstar,ricochet-robots,instance-17.pddl,UNSOLVED,N/A
decstar,ricochet-robots,instance-18.pddl,UNSOLVED,N/A
decstar,ricochet-robots,instance-19.pddl,UNSOLVED,N/A
decstar,snake,instance-01.pddl,3.812377,Cross_Test (Gemini 3.1 Pro)
decstar,snake,instance-02.pddl,94.693862,Cross_Test (Claude Opus 4.6)
decstar,snake,instance-03.pddl,147.720412,Cross_Test (Claude Opus 4.6)
decstar,snake,instance-04.pddl,UNSOLVED,N/A
decstar,snake,instance-07.pddl,UNSOLVED,N/A
decstar,snake,instance-08.pddl,UNSOLVED,N/A
decstar,snake,instance-09.pddl,UNSOLVED,N/A
decstar,snake,instance-11.pddl,UNSOLVED,N/A
decstar,snake,instance-12.pddl,UNSOLVED,N/A
decstar,snake,instance-13.pddl,UNSOLVED,N/A
decstar,snake,instance-14.pddl,UNSOLVED,N/A
decstar,snake,instance-16.pddl,UNSOLVED,N/A
decstar,snake,instance-17.pddl,UNSOLVED,N/A
decstar,snake,instance-18.pddl,UNSOLVED,N/A
decstar,snake,instance-19.pddl,UNSOLVED,N/A
decstar,visitall,instance-01.pddl,UNSOLVED,N/A
decstar,visitall,instance-02.pddl,UNSOLVED,N/A
decstar,visitall,instance-03.pddl,UNSOLVED,N/A
decstar,visitall,instance-04.pddl,UNSOLVED,N/A
decstar,visitall,instance-07.pddl,UNSOLVED,N/A
decstar,visitall,instance-08.pddl,UNSOLVED,N/A
decstar,visitall,instance-09.pddl,UNSOLVED,N/A
decstar,visitall,instance-11.pddl,UNSOLVED,N/A
decstar,visitall,instance-12.pddl,UNSOLVED,N/A
decstar,visitall,instance-13.pddl,UNSOLVED,N/A
decstar,visitall,instance-14.pddl,UNSOLVED,N/A
decstar,visitall,instance-16.pddl,UNSOLVED,N/A
decstar,visitall,instance-17.pddl,UNSOLVED,N/A
decstar,visitall,instance-18.pddl,UNSOLVED,N/A
decstar,visitall,instance-19.pddl,UNSOLVED,N/A
madagascar,barman,instance-01.pddl,56.226553,Arch_Aware (DeepSeek-R1)
madagascar,barman,instance-02.pddl,17.177447,Feedback_Loop1 (Gemini 3.1 Pro)
madagascar,barman,instance-03.pddl,138.977658,Cross_Test (GPT-5.4)
madagascar,barman,instance-04.pddl,18.852512,Cross_Test (GPT-5.4)
madagascar,barman,instance-07.pddl,UNSOLVED,N/A
madagascar,barman,instance-08.pddl,271.857824,Cross_Test (GPT-5.4)
madagascar,barman,instance-09.pddl,24.757185,BASELINE
madagascar,barman,instance-11.pddl,55.789677,Cross_Test (GPT-5.4)
madagascar,barman,instance-12.pddl,303.178376,Feedback_Loop2 (Gemini 3.1 Pro)
madagascar,barman,instance-13.pddl,UNSOLVED,N/A
madagascar,barman,instance-14.pddl,43.738016,Cross_Test (Claude Opus 4.6)
madagascar,barman,instance-16.pddl,7.057573,Cross_Test (Claude Opus 4.6)
madagascar,barman,instance-17.pddl,26.465344,Feedback_Loop3 (GPT-5.4)
madagascar,barman,instance-18.pddl,11.748822,Feedback_Loop1 (Gemini 3.1 Pro)
madagascar,barman,instance-19.pddl,53.239062,Cross_Test (Claude Opus 4.6)
madagascar,depots,instance-01.pddl,0.331734,Arch_Aware (DeepSeek-R1)
madagascar,depots,instance-02.pddl,0.332332,Arch_Aware (DeepSeek-R1)
madagascar,depots,instance-03.pddl,0.337427,Arch_Aware (DeepSeek-R1)
madagascar,depots,instance-04.pddl,0.35512,Cross_Test (DeepSeek-R1)
madagascar,depots,instance-07.pddl,0.349817,Arch_Aware (DeepSeek-R1)
madagascar,depots,instance-08.pddl,0.395831,Arch_Aware (GPT-5.4)
madagascar,depots,instance-09.pddl,0.554161,Arch_Aware (DeepSeek-R1)
madagascar,depots,instance-11.pddl,0.432853,Arch_Aware (DeepSeek-R1)
madagascar,depots,instance-12.pddl,0.768249,Arch_Aware (Gemini 3.1 Pro)
madagascar,depots,instance-13.pddl,0.38352,Arch_Aware (DeepSeek-R1)
madagascar,depots,instance-14.pddl,0.472423,Cross_Test (DeepSeek-R1)
madagascar,depots,instance-16.pddl,0.38624,Arch_Aware (DeepSeek-R1)
madagascar,depots,instance-17.pddl,0.531765,Arch_Aware (DeepSeek-R1)
madagascar,depots,instance-18.pddl,0.906495,Arch_Aware (DeepSeek-R1)
madagascar,depots,instance-19.pddl,0.459224,Arch_Aware (DeepSeek-R1)
madagascar,ricochet-robots,instance-01.pddl,UNSOLVED,N/A
madagascar,ricochet-robots,instance-02.pddl,UNSOLVED,N/A
madagascar,ricochet-robots,instance-03.pddl,UNSOLVED,N/A
madagascar,ricochet-robots,instance-04.pddl,UNSOLVED,N/A
madagascar,ricochet-robots,instance-07.pddl,UNSOLVED,N/A
madagascar,ricochet-robots,instance-08.pddl,UNSOLVED,N/A
madagascar,ricochet-robots,instance-09.pddl,UNSOLVED,N/A
madagascar,ricochet-robots,instance-11.pddl,UNSOLVED,N/A
madagascar,ricochet-robots,instance-12.pddl,UNSOLVED,N/A
madagascar,ricochet-robots,instance-13.pddl,UNSOLVED,N/A
madagascar,ricochet-robots,instance-14.pddl,UNSOLVED,N/A
madagascar,ricochet-robots,instance-16.pddl,UNSOLVED,N/A
madagascar,ricochet-robots,instance-17.pddl,UNSOLVED,N/A
madagascar,ricochet-robots,instance-18.pddl,UNSOLVED,N/A
madagascar,ricochet-robots,instance-19.pddl,UNSOLVED,N/A
madagascar,snake,instance-01.pddl,3.832909,Feedback_Loop2 (Claude Opus 4.6)
madagascar,snake,instance-02.pddl,4.760418,Feedback_Loop1 (Claude Opus 4.6)
madagascar,snake,instance-03.pddl,5.924883,Feedback_Loop3 (GPT-5.4)
madagascar,snake,instance-04.pddl,UNSOLVED,N/A
madagascar,snake,instance-07.pddl,13.67793,Arch_Aware (Gemini 3.1 Pro)
madagascar,snake,instance-08.pddl,112.382252,General (Claude Opus 4.6)
madagascar,snake,instance-09.pddl,41.580073,General (Gemini 3.1 Pro)
madagascar,snake,instance-11.pddl,35.914929,Cross_Test (DeepSeek-R1)
madagascar,snake,instance-12.pddl,242.022148,General (Gemini 3.1 Pro)
madagascar,snake,instance-13.pddl,UNSOLVED,N/A
madagascar,snake,instance-14.pddl,UNSOLVED,N/A
madagascar,snake,instance-16.pddl,123.025343,Cross_Test (Claude Opus 4.6)
madagascar,snake,instance-17.pddl,UNSOLVED,N/A
madagascar,snake,instance-18.pddl,UNSOLVED,N/A
madagascar,snake,instance-19.pddl,UNSOLVED,N/A
madagascar,visitall,instance-01.pddl,UNSOLVED,N/A
madagascar,visitall,instance-02.pddl,UNSOLVED,N/A
madagascar,visitall,instance-03.pddl,UNSOLVED,N/A
madagascar,visitall,instance-04.pddl,UNSOLVED,N/A
madagascar,visitall,instance-07.pddl,UNSOLVED,N/A
madagascar,visitall,instance-08.pddl,UNSOLVED,N/A
madagascar,visitall,instance-09.pddl,UNSOLVED,N/A
madagascar,visitall,instance-11.pddl,UNSOLVED,N/A
madagascar,visitall,instance-12.pddl,UNSOLVED,N/A
madagascar,visitall,instance-13.pddl,UNSOLVED,N/A
madagascar,visitall,instance-14.pddl,UNSOLVED,N/A
madagascar,visitall,instance-16.pddl,UNSOLVED,N/A
madagascar,visitall,instance-17.pddl,UNSOLVED,N/A
madagascar,visitall,instance-18.pddl,UNSOLVED,N/A
madagascar,visitall,instance-19.pddl,UNSOLVED,N/A
