Planner,Domain,Instance,IPC_Score,LLM
lama,visitall,instance-07.pddl,0.6648587885761744,Gemini 3.1 Pro
lama,visitall,instance-08.pddl,0.6756058091694673,Gemini 3.1 Pro
lama,visitall,instance-09.pddl,0.6624478421787791,GPT-5.4
lama,visitall,instance-11.pddl,0.6736875980778851,GPT-5.4
lama,visitall,instance-12.pddl,0.6808809114515834,GPT-5.4
lama,visitall,instance-13.pddl,0.6881116569238024,Claude Opus 4.6
lama,visitall,instance-14.pddl,0.7593221192212133,Gemini 3.1 Pro
lama,visitall,instance-16.pddl,0.7021221873328515,GPT-5.4
lama,visitall,instance-17.pddl,0.6659099012842076,Gemini 3.1 Pro
lama,visitall,instance-18.pddl,0.7630276306303038,GPT-5.4
lama,visitall,instance-19.pddl,0.6832878451494996,Claude Opus 4.6
madagascar,barman,instance-01.pddl,0.0,GPT-5.4
madagascar,barman,instance-02.pddl,0.0,GPT-5.4
madagascar,barman,instance-03.pddl,0.0,GPT-5.4
madagascar,barman,instance-04.pddl,0.4947507287111373,Claude Opus 4.6
madagascar,barman,instance-07.pddl,0.0,GPT-5.4
madagascar,barman,instance-08.pddl,0.0,GPT-5.4
madagascar,barman,instance-09.pddl,0.45773732171008336,Claude Opus 4.6
madagascar,barman,instance-11.pddl,0.4162006224212128,Claude Opus 4.6
madagascar,barman,instance-12.pddl,0.0,GPT-5.4
madagascar,barman,instance-13.pddl,0.0,GPT-5.4
madagascar,barman,instance-14.pddl,0.30586849517760606,GPT-5.4
madagascar,barman,instance-16.pddl,0.36554691145602947,Gemini 3.1 Pro
madagascar,barman,instance-17.pddl,0.3049162341032631,Gemini 3.1 Pro
madagascar,barman,instance-18.pddl,0.3118479862229383,Gemini 3.1 Pro
madagascar,barman,instance-19.pddl,0.0,GPT-5.4
madagascar,depots,instance-01.pddl,0.9085813691021002,Claude Opus 4.6
madagascar,depots,instance-02.pddl,0.8905380466822111,DeepSeek-R1
madagascar,depots,instance-03.pddl,0.8574446745700555,DeepSeek-R1
madagascar,depots,instance-04.pddl,0.8998153343890595,Gemini 3.1 Pro
madagascar,depots,instance-07.pddl,0.8972144825391639,DeepSeek-R1
madagascar,depots,instance-08.pddl,0.9021101849694645,GPT-5.4
madagascar,depots,instance-09.pddl,0.8940615355003734,GPT-5.4
madagascar,depots,instance-11.pddl,0.8902752653811793,DeepSeek-R1
madagascar,depots,instance-12.pddl,0.9053993407533295,Claude Opus 4.6
madagascar,depots,instance-13.pddl,0.9115313811975024,GPT-5.4
madagascar,depots,instance-14.pddl,0.9103496907961447,DeepSeek-R1
madagascar,depots,instance-16.pddl,0.8926685301285038,DeepSeek-R1
madagascar,depots,instance-17.pddl,0.9211423398201034,GPT-5.4
madagascar,depots,instance-18.pddl,0.9362212783935269,GPT-5.4
madagascar,depots,instance-19.pddl,0.9004795776832841,DeepSeek-R1
madagascar,ricochet-robots,instance-01.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-02.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-03.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-04.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-07.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-08.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-09.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-11.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-12.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-13.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-14.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-16.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-17.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-18.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-19.pddl,0.0,GPT-5.4
madagascar,snake,instance-01.pddl,0.9109338146464577,DeepSeek-R1
madagascar,snake,instance-02.pddl,0.888578616073022,GPT-5.4
madagascar,snake,instance-03.pddl,0.9483420045216849,GPT-5.4
madagascar,snake,instance-04.pddl,0.0,GPT-5.4
madagascar,snake,instance-07.pddl,0.949431533764303,Gemini 3.1 Pro
madagascar,snake,instance-08.pddl,1.0,Claude Opus 4.6
madagascar,snake,instance-09.pddl,1.0,Gemini 3.1 Pro
madagascar,snake,instance-11.pddl,0.9695070550948207,Gemini 3.1 Pro
madagascar,snake,instance-12.pddl,1.0,Gemini 3.1 Pro
madagascar,snake,instance-13.pddl,0.0,GPT-5.4
madagascar,snake,instance-14.pddl,0.0,GPT-5.4
madagascar,snake,instance-16.pddl,0.0,GPT-5.4
madagascar,snake,instance-17.pddl,0.0,GPT-5.4
madagascar,snake,instance-18.pddl,0.0,GPT-5.4
madagascar,snake,instance-19.pddl,0.0,GPT-5.4
madagascar,visitall,instance-01.pddl,0.0,GPT-5.4
madagascar,visitall,instance-02.pddl,0.0,GPT-5.4
madagascar,visitall,instance-03.pddl,0.0,GPT-5.4
madagascar,visitall,instance-04.pddl,0.0,GPT-5.4
madagascar,visitall,instance-07.pddl,0.0,GPT-5.4
madagascar,visitall,instance-08.pddl,0.0,GPT-5.4
madagascar,visitall,instance-09.pddl,0.0,GPT-5.4
madagascar,visitall,instance-11.pddl,0.0,GPT-5.4
madagascar,visitall,instance-12.pddl,0.0,GPT-5.4
madagascar,visitall,instance-13.pddl,0.0,GPT-5.4
madagascar,visitall,instance-14.pddl,0.0,GPT-5.4
madagascar,visitall,instance-16.pddl,0.0,GPT-5.4
madagascar,visitall,instance-17.pddl,0.0,GPT-5.4
madagascar,visitall,instance-18.pddl,0.0,GPT-5.4
madagascar,visitall,instance-19.pddl,0.0,GPT-5.4
