Planner,Domain,Instance,IPC_Score,LLM,Prompt_Type,Prompt_ID
lama,visitall,instance-03.pddl,0.9768338736811559,GPT-5.4,Arch_Aware,1.0
lama,visitall,instance-04.pddl,0.9687855564187612,GPT-5.4,Arch_Aware,1.0
lama,visitall,instance-07.pddl,0.9544662489661062,GPT-5.4,Arch_Aware,1.0
lama,visitall,instance-08.pddl,0.9587641295900273,Gemini 3.1 Pro,Arch_Aware,1.0
lama,visitall,instance-09.pddl,0.9448893808475112,DeepSeek-R1,Arch_Aware,1.0
lama,visitall,instance-11.pddl,0.9346777747455206,GPT-5.4,Arch_Aware,1.0
lama,visitall,instance-12.pddl,0.9414632966046116,GPT-5.4,Arch_Aware,1.0
lama,visitall,instance-13.pddl,0.9313930324293065,GPT-5.4,Arch_Aware,1.0
lama,visitall,instance-14.pddl,0.9319164374949803,GPT-5.4,Arch_Aware,1.0
lama,visitall,instance-16.pddl,0.9395493764859109,GPT-5.4,Arch_Aware,1.0
lama,visitall,instance-17.pddl,0.9268350346646054,GPT-5.4,Arch_Aware,1.0
lama,visitall,instance-18.pddl,0.9290719774465589,Claude Opus 4.6,Arch_Aware,1.0
lama,visitall,instance-19.pddl,0.9059928512245895,Gemini 3.1 Pro,Arch_Aware,1.0
madagascar,barman,instance-01.pddl,1.0,DeepSeek-R1,Arch_Aware,4.0
madagascar,barman,instance-02.pddl,0.5023889349449009,GPT-5.4,Cross_Test,1.0
madagascar,barman,instance-03.pddl,1.0,GPT-5.4,Cross_Test,3.0
madagascar,barman,instance-04.pddl,1.0,GPT-5.4,Cross_Test,1.0
madagascar,barman,instance-07.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,barman,instance-08.pddl,1.0,GPT-5.4,Cross_Test,3.0
madagascar,barman,instance-09.pddl,0.9069540950465746,Gemini 3.1 Pro,Cross_Test,3.0
madagascar,barman,instance-11.pddl,1.0,GPT-5.4,Cross_Test,1.0
